Unnamed: 0,Unnamed: 1,Unnamed: 2,Bill of materials,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,,,Board reference:,MB1419,,
,,,Variant:,G431CBU6,,
,,,PCB revision:,C,,
,,,Assembly revision:,01,,
,,,Date:,18/02/2021,,
,,,,,,
Designator,Description,Package,Manufacturer,Manufacturer_Part_Number,Fitted,Quantity
"C1, C2, C3, C4, C5, C9, C13, C17, C18, C20, C21, C22, C23, C24, C70",CAP CER 0.1UF 16V X7R 0402,C_0402,Wurth Electronics Inc.,885012205037,Fitted,15
C6,CAP CER 10UF 16V X5R 0805,C_0805,Wurth Electronics Inc.,885012107014,Fitted,1
C7,CAP CER 4.7UF 16V X5R 0805,C_0805,Wurth Electronics Inc.,885012107013,Fitted,1
C8,CAP CER 100PF 10V C0G/NP0 0402,C_0402,Wurth Electronics Inc.,885012005013,Fitted,1
"C10, C11, C67, C68, C69",CAP CER 10PF 10V C0G/NP0 0402,C_0402,Wurth Electronics Inc.,885012005007,Fitted,5
"C14, C16",CAP CER 1UF 16V X5R 0603,C_0603,Yageo,CC0603KRX5R7BB105,Fitted,2
C15,CAP CER 0.1UF 16V X7R 0603,C_0603,Wurth Electronics Inc.,885012206046,Fitted,1
C19,CAP CER 4.7UF 10V X5R 0603,C_0603,Wurth Electronics Inc.,885012106012,Fitted,1
"C25, C56, C63",CAP CER 1UF 25V X5R 0402,C_0402,Murata Electronics North America,GRM155R61E105KA12D,Fitted,3
C26,CAP CER 10000PF 16V X7R 0402,C_0402,Wurth Electronics Inc.,885012205031,Fitted,1
"C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40",CAP CER 15UF 35V X5R 0805,C_0805_HD,TDK Corporation,C2012X5R1V156M125AC,Fitted,14
C41,CAP CER 0.22UF 50V X7R 0603,C_0603_HD,TDK Corporation,CGA3E3X7R1H224K080AD,Fitted,1
C42,CAP CER 3900PF 16V X7R 0402,C_0402,KEMET,C0402C392K4RAC7867,Fitted,1
"C43, C52, C58",CAP CER 1UF 25V X7R 0603,C_0603_HD,Wurth Electronics Inc.,885012206076,Fitted,3
C44,CAP CER 10UF 50V X7R 1206,C_1206,"Samsung Electro-Mechanics America, Inc.",CL31B106KBHNNNE,Fitted,1
